player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name
284,285,TR Birt,null,Left-hand bat,Right-arm medium,Australia
285,286,AG Murtaza,null,Left-hand bat,Slow left-arm orthodox,India
286,287,Harpreet Singh,null,Left-hand bat,Right-arm medium,India
287,288,M Klinger,null,Right-hand bat,N/A,Australia
288,289,AC Blizzard,null,Left-hand bat,Left-arm medium,Australia
289,290,I Malhotra,null,Right-hand bat,Right-arm medium-fast,India
290,291,L Ablish,null,Right-hand bat,Right-arm medium-fast,India
291,292,CA Ingram,null,Left-hand bat,Legbreak,South Africa
292,293,S Nadeem,null,Right-hand bat,Slow left-arm orthodox,India
293,294,P Parameswaran,null,Right-hand bat,Left-arm medium,India
294,295,CJ Ferguson,null,Right-hand bat,Right-arm medium,Australia
295,296,VR Aaron,null,Right-hand bat,Right-arm fast,India
296,297,AA Chavan,null,Left-hand bat,Slow left-arm orthodox,India
297,298,ND Doshi,null,Right-hand bat,Slow left-arm orthodox,India
298,299,B Kumar,null,Right-hand bat,Right-arm medium,India
299,300,Y Gnaneswara Rao,null,Right-hand bat,Right-arm medium,India
300,301,S Rana,null,Right-hand bat,Right-arm medium-fast,India
301,302,BA Bhatt,null,Left-hand bat,Slow left-arm orthodox,India
302,303,F du Plessis,null,Right-hand bat,Legbreak,South Africa
303,304,RE Levi,null,Right-hand bat,Right-arm medium,South Africa
304,305,GJ Maxwell,null,Right-hand bat,Right-arm offbreak,Australia
305,306,SPD Smith,null,Right-hand bat,Legbreak googly,India
306,307,MN Samuels,null,Right-hand bat,Right-arm offbreak,West Indies
307,308,SA Yadav,null,Right-hand bat,Right-arm offbreak,India
308,309,KK Cooper,null,Right-hand bat,Right-arm medium,West Indies
309,310,JP Faulkner,null,Right-hand bat,Left-arm fast-medium,Australia
310,311,HV Patel,null,Right-hand bat,Right-arm medium,India
311,312,DAJ Bracewell,null,Right-hand bat,Right-arm fast-medium,New Zealand
312,313,DJ Harris,null,Right-hand bat,Right-arm medium,Australia
313,314,Ankit Sharma,null,Left-hand bat,Slow left-arm orthodox,India
314,315,SP Narine,null,Left-hand bat,Right-arm offbreak,West Indies
315,316,GB Hogg,null,Left-hand bat,Slow left-arm chinaman,Australia
316,317,RR Bhatkal,null,Right-hand bat,Right-arm medium,India
317,318,CJ McKay,null,Right-hand bat,Right-arm fast-medium,Australia
318,319,N Saini,null,Right-hand bat,N/A,India
319,320,DA Miller,null,Left-hand bat,Right-arm offbreak,South Africa
320,321,Azhar Mahmood,null,Right-hand bat,Right-arm fast-medium,Pakistan
321,322,P Negi,null,Left-hand bat,Slow left-arm orthodox,India
322,323,RJ Peterson,null,Left-hand bat,Slow left-arm orthodox,South Africa
323,324,KMDN Kulasekara,null,Right-hand bat,Right-arm fast-medium,Sri Lanka
324,325,A Ashish Reddy,null,Right-hand bat,Right-arm medium,India
325,326,V Pratap Singh,null,Right-hand bat,Right-arm medium,India
326,327,BB Samantray,null,Right-hand bat,N/A,India
327,328,MJ Clarke,null,Right-hand bat,Slow left-arm orthodox,Australia
328,329,Gurkeerat Singh,null,Right-hand bat,Right-arm offbreak,India
329,330,AP Majumdar,null,Right-hand bat,Legbreak googly,India
330,331,PA Reddy,null,Right-hand bat,Legbreak,India
331,332,K Upadhyay,null,Right-hand bat,Right-arm medium,India
332,333,P Awana,null,Right-hand bat,Right-arm medium,India
333,334,AD Russell,null,Right-hand bat,Right-arm fast,West Indies
334,335,A Chandila,null,Right-hand bat,Right-arm offbreak,India
335,336,CA Lynn,null,Right-hand bat,Slow left-arm orthodox,Australia
336,337,Sunny Gupta,null,Right-hand bat,Right-arm offbreak,India
337,338,MC Juneja,null,Right-hand bat,Right-arm offbreak,India
338,339,KK Nair,null,Right-hand bat,Right-arm offbreak,India
339,340,GH Vihari,null,Right-hand bat,Right-arm offbreak,India
340,341,MDKJ Perera,null,Left-hand bat,N/A,Sri Lanka
341,342,R Shukla,null,Right-hand bat,Right-arm medium,India
342,343,B Laughlin,null,Right-hand bat,Right-arm fast-medium,Australia
343,344,AS Rajpoot,null,Right-hand bat,Right-arm medium,India
344,345,M Vohra,null,Right-hand bat,Right-arm medium,India
345,346,JD Unadkat,null,Right-hand bat,Left-arm medium,India
346,347,Mohammed Shami,null,Right-hand bat,Right-arm fast-medium,India
347,348,BMAJ Mendis,null,Left-hand bat,Legbreak,Sri Lanka
348,349,R Rampaul,null,Left-hand bat,Right-arm fast-medium,West Indies
349,350,CH Morris,null,Right-hand bat,Right-arm fast-medium,South Africa
350,351,SV Samson,null,Right-hand bat,N/A,India
351,352,SMSM Senanayake,null,Right-hand bat,Right-arm offbreak,Sri Lanka
352,353,BJ Rohrer,null,Left-hand bat,N/A,Australia
353,354,KL Rahul,null,Right-hand bat,N/A,India
354,355,Q de Kock,null,Left-hand bat,N/A,South Africa
355,356,R Dhawan,null,Right-hand bat,Right-arm medium-fast,India
356,357,MG Johnson,null,Left-hand bat,Left-arm fast,Australia
357,358,LJ Wright,null,Right-hand bat,Right-arm medium-fast,England
358,359,IC Pandey,null,Right-hand bat,Right-arm medium,India
359,360,CM Gautam,null,Right-hand bat,N/A,India
360,361,X Thalaivan Sargunam,null,Right-hand bat,Right-arm offbreak,India
361,362,DJG Sammy,null,Right-hand bat,Right-arm medium-fast,West Indies
362,363,KW Richardson,null,Right-hand bat,Right-arm fast-medium,Australia
363,364,MM Sharma,null,Right-hand bat,Right-arm medium,India
364,365,UA Birla,null,Right-hand bat,Right-arm medium,India
365,366,Parvez Rasool,null,Right-hand bat,Right-arm offbreak,India
366,367,Sandeep Sharma,null,Right-hand bat,Right-arm medium,India
367,368,S Kaul,null,Right-hand bat,Right-arm medium,India
368,369,Sachin Baby,null,Left-hand bat,Right-arm offbreak,India
369,370,PV Tambe,null,Right-hand bat,Legbreak,India
370,371,NM Coulter-Nile,null,Right-hand bat,Right-arm fast,Australia
371,372,CJ Anderson,null,Left-hand bat,Left-arm medium-fast,New Zealand
372,373,NJ Maddinson,null,Left-hand bat,Slow left-arm orthodox,Australia
373,374,AR Patel,null,Left-hand bat,Slow left-arm orthodox,India
374,375,JJ Bumrah,null,Right-hand bat,Right-arm medium,India
375,376,JDS Neesham,null,Left-hand bat,Right-arm medium,New Zealand
376,377,TG Southee,null,Right-hand bat,Right-arm medium-fast,New Zealand
377,378,MA Starc,null,Left-hand bat,Left-arm fast,Australia
378,379,BR Dunk,null,Left-hand bat,N/A,Australia
379,380,RR Rossouw,null,Left-hand bat,Right-arm offbreak,South Africa
380,381,Shivam Sharma,null,Right-hand bat,Right-arm offbreak,India
381,382,YS Chahal,null,Right-hand bat,Legbreak googly,India
382,383,LMP Simmons,null,Right-hand bat,Right-arm medium-fast,West Indies
383,384,VH Zol,null,Left-hand bat,Right-arm offbreak,India
384,385,BCJ Cutting,null,Right-hand bat,Right-arm fast-medium,Australia
385,386,Imran Tahir,null,Right-hand bat,Legbreak googly,India
386,387,BE Hendricks,null,Left-hand bat,Left-arm fast-medium,South Africa
387,388,S Gopal,null,Right-hand bat,Legbreak,India
388,389,M de Lange,null,Right-hand bat,Right-arm fast,South Africa
389,390,R Tewatia,null,Left-hand bat,Legbreak,India
